,open,close
2019-04-30,3.77,3.77
2019-04-29,4.66,4.19
2019-04-26,4.08,4.66
2019-04-25,4.55,4.24
2019-04-24,3.95,4.57
2019-04-23,3.8,4.15
2019-04-22,3.77,3.77
2019-04-19,3.43,3.43
2019-04-18,2.81,3.12
2019-04-17,2.72,2.84
2019-04-16,2.61,2.72
2019-04-15,2.69,2.65
2019-04-12,2.81,2.72
2019-04-11,2.7,2.81
2019-04-10,2.68,2.71
2019-04-09,2.7,2.75
2019-04-08,2.88,2.79
2019-04-04,2.8,2.85
2019-04-03,2.74,2.8
2019-04-02,2.75,2.76
2019-04-01,2.64,2.74
2019-03-29,2.54,2.63
2019-03-28,2.6,2.54
2019-03-27,2.67,2.62
2019-03-26,2.78,2.64
2019-03-25,2.77,2.76
2019-03-22,2.89,2.85
2019-03-21,2.89,2.9
2019-03-20,2.97,2.93
2019-03-19,2.83,3.0
2019-03-18,2.74,2.88
2019-03-15,2.73,2.75
2019-03-14,2.83,2.72
2019-03-13,2.93,2.85
2019-03-12,2.88,2.93
2019-03-11,2.73,2.86
2019-03-08,2.94,2.75
2019-03-07,2.86,3.05
2019-03-06,2.74,2.88
2019-03-05,2.6,2.72
2019-03-04,2.57,2.63
2019-03-01,2.6,2.61
2019-02-28,2.68,2.67
2019-02-27,2.51,2.61
2019-02-26,2.49,2.54
2019-02-25,2.42,2.5
2019-02-22,2.31,2.37
2019-02-21,2.29,2.31
2019-02-20,2.32,2.3
2019-02-19,2.24,2.33
